locus	band	gene_id	gene_sym	chrom	coord_hg19	n	beta_log2fc_per_alt	se	t	p	perm_p	bh_q	direction	mean_log2rpkm
chr7:5989046-6735643		ENSG00000136240.5	ENSG00000136240.5	7	6523873	462	0.06482	0.04873	1.3301	0.18416076366163797	0.17182817182817184	0.7948750417954086	up	5.8229
chr2:87987171-111255403		ENSG00000163126.10	ENSG00000163126.10	2	97523671	462	0.09052	0.06806	1.3299	0.18424388570553585	0.19080919080919082	0.7948750417954086	up	1.5744
chr17:16823490-18384190		ENSG00000200229.1	ENSG00000200229.1	17	18965225	462	-0.14188	0.10695	-1.3266	0.18532588829887175	0.1888111888111888	0.7948750417954086	down	2.8146
chr5:179643529-179651253		ENSG00000198939.3	ENSG00000198939.3	5	178322895	462	-0.01546	0.01166	-1.3264	0.18538024784665535	0.1918081918081918	0.7948750417954086	down	0.1965
chr12:75713180-75731794		ENSG00000139289.7	ENSG00000139289.7	12	76427712	462	0.11786	0.08895	1.325	0.18585650448417726	0.1938061938061938	0.7948750417954086	up	0.9883
chr14:60606118-60611659		ENSG00000100612.8	ENSG00000100612.8	14	60636574	462	-0.02776	0.02097	-1.324	0.1861985154448049	0.15884115884115885	0.7948750417954086	down	5.1547
chr1:149843518-149850293		ENSG00000203818.5	ENSG00000203818.5	1	149400542	462	-0.10711	0.0811	-1.3207	0.18726424156174662	0.18581418581418582	0.7966774263004891	down	0.2842
chr16:35946683-35952382		ENSG00000261620.1	ENSG00000261620.1	16	35037651	462	0.0882	0.06695	1.3175	0.1883642009266068	0.17482517482517482	0.798612605298422	up	0.693
chr2:87987171-111255403		ENSG00000250036.1	ENSG00000250036.1	2	89923550	462	0.27174	0.20696	1.313	0.18984987244580667	0.1888111888111888	0.8011233477405039	up	1.3889
chr1:149843518-149850293		ENSG00000233368.1	ENSG00000233368.1	1	149577296	462	-0.13968	0.10648	-1.3118	0.19025061731478848	0.18581418581418582	0.8011233477405039	down	2.443
chr2:87987171-111255403		ENSG00000239862.1	ENSG00000239862.1	2	89597542	462	0.28276	0.21667	1.305	0.19256004688089523	0.21578421578421578	0.8080994509781297	up	1.5071
chr12:46896694-46915975		ENSG00000005175.5	ENSG00000005175.5	12	48099844	462	0.06309	0.04851	1.3006	0.19406741010312795	0.1848151848151848	0.8100812320868216	up	3.9741
chr1:25324280-25369060		ENSG00000169442.4	ENSG00000169442.4	1	26644448	462	-0.02323	0.01791	-1.2968	0.1953815891564831	0.22077922077922077	0.8100812320868216	down	8.1836
chr11:18249084-18265819		ENSG00000166788.5	ENSG00000166788.5	11	18127638	462	-0.11096	0.08561	-1.2961	0.19562171527067088	0.1978021978021978	0.8100812320868216	down	4.0947
chr2:87987171-111255403		ENSG00000135974.5	ENSG00000135974.5	2	105953816	462	0.03927	0.0303	1.296	0.19565342773631855	0.1838161838161838	0.8100812320868216	up	3.0374
chr3:75454477-75455715		ENSG00000172971.7	ENSG00000172971.7	3	75673000	462	0.02807	0.02172	1.2924	0.19687853012737233	0.2077922077922078	0.8100812320868216	up	2.2526
chr2:91832040-92012663		ENSG00000236969.1	ENSG00000236969.1	2	91963970	462	0.09435	0.07301	1.2922	0.1969583609516424	0.1938061938061938	0.8100812320868216	up	0.773
chr3:195749463-195980207		ENSG00000184203.3	ENSG00000184203.3	3	195270209	462	-0.01723	0.01338	-1.2877	0.19850420233362248	0.2047952047952048	0.8128182762372825	down	4.8758
chr2:87987171-111255403		ENSG00000240671.1	ENSG00000240671.1	2	89292450	462	0.44312	0.34493	1.2847	0.19957862809355773	0.21578421578421578	0.8128182762372825	up	3.4211
chr1:25324280-25369060		ENSG00000020633.13	ENSG00000020633.13	1	25291612	462	-0.01702	0.01325	-1.2846	0.19959350240398538	0.1938061938061938	0.8128182762372825	down	5.8157
chr5:177946129-178003952		ENSG00000251211.1	ENSG00000251211.1	5	177592703	462	0.03864	0.03014	1.2823	0.20040194351279625	0.1978021978021978	0.8134347739962026	up	0.1556
chr1:149843518-149850293		ENSG00000223759.1	ENSG00000223759.1	1	149672997	462	0.09091	0.07107	1.2792	0.2014909001391718	0.17382617382617382	0.8151821384715513	up	1.3271
chr2:87987171-111255403		ENSG00000211623.2	ENSG00000211623.2	2	90024732	462	-0.186	0.14601	-1.2739	0.20337026523525703	0.2057942057942058	0.8176253953117305	down	0.928
chr17:45585159-46292045		ENSG00000262879.1	ENSG00000262879.1	17	45177689	462	0.0271	0.02128	1.2733	0.203582635760621	0.1918081918081918	0.8176253953117305	up	2.7247
chr2:87987171-111255403		ENSG00000144029.7	ENSG00000144029.7	2	95815179	462	-0.05338	0.04197	-1.2719	0.2040761285551896	0.2007992007992008	0.8176253953117305	down	4.8266
chr2:87987171-111255403		ENSG00000241294.1	ENSG00000241294.1	2	89476644	462	-0.39632	0.31282	-1.2669	0.20584155522708136	0.1958041958041958	0.8214270977493892	down	2.9187
chr5:179643529-179651253		ENSG00000050748.12	ENSG00000050748.12	5	179719099	462	0.01859	0.0147	1.2643	0.20678759112542863	0.23276723276723277	0.8214270977493892	up	3.7805
chr17:3082008-3221835		ENSG00000167723.9	ENSG00000167723.9	17	3461289	462	1.08644	0.85976	1.2637	0.20701555290614657	0.1998001998001998	0.8214270977493892	up	1.8748
chr17:16823490-18384190		ENSG00000224126.2	ENSG00000224126.2	17	18580574	462	-0.04089	0.03248	-1.259	0.20870686817252876	0.21578421578421578	0.8239391166232707	down	5.8575
chr7:54234014-54308393		ENSG00000146648.10	ENSG00000146648.10	7	55086714	462	-0.02142	0.01712	-1.2512	0.21151369250118446	0.22577422577422576	0.8239391166232707	down	0.2823
chr7:65219157-65531823		ENSG00000232727.2	ENSG00000232727.2	7	63894208	462	-0.01219	0.00974	-1.2507	0.2117079733762693	0.1918081918081918	0.8239391166232707	down	4.9466
chr2:87987171-111255403		ENSG00000229089.1	ENSG00000229089.1	2	95522992	462	0.01815	0.01452	1.2494	0.21217210357202826	0.22077922077922077	0.8239391166232707	up	0.142
chr3:195749463-195980207		ENSG00000231464.1	ENSG00000231464.1	3	195723609	462	-0.01355	0.01085	-1.2493	0.21222715705747397	0.20279720279720279	0.8239391166232707	down	2.2753
chr16:75206214-75222748		ENSG00000184517.7	ENSG00000184517.7	16	75182390	462	-0.02223	0.01781	-1.2486	0.21247194055188234	0.21978021978021978	0.8239391166232707	down	2.8244
chr2:87987171-111255403		ENSG00000198142.3	ENSG00000198142.3	2	110371911	462	-0.08406	0.06748	-1.2457	0.21351561663077112	0.2137862137862138	0.8239391166232707	down	0.5454
chr16:28471892-28637651		ENSG00000103472.5	ENSG00000103472.5	16	29086163	462	0.01426	0.01147	1.2431	0.21447450815724795	0.21478521478521478	0.8239391166232707	up	3.0337
chr20:24397726-24406144		ENSG00000077984.4	ENSG00000077984.4	20	24929866	462	-0.03177	0.02556	-1.243	0.2145074948326862	0.22477522477522477	0.8239391166232707	down	0.5353
chr16:28471892-28637651		ENSG00000251417.1	ENSG00000251417.1	16	28814097	462	0.0087	0.00703	1.2389	0.2160448597558217	0.2017982017982018	0.8239391166232707	up	0.2612
chr1:149843518-149850293		ENSG00000023902.8	ENSG00000023902.8	1	150121373	462	0.09678	0.07834	1.2354	0.21735136273090147	0.1958041958041958	0.8239391166232707	up	6.5142
chr5:177946129-178003952		ENSG00000169228.9	ENSG00000169228.9	5	176730745	462	0.27444	0.2225	1.2334	0.21807532965008497	0.1968031968031968	0.8239391166232707	up	4.1438
chr17:45585159-46292045		ENSG00000213326.4	ENSG00000213326.4	17	44799533	462	0.01446	0.01175	1.2309	0.21899969816151738	0.23576423576423577	0.8239391166232707	up	10.2754
chr7:5989046-6735643		ENSG00000155034.13	ENSG00000155034.13	7	5553429	462	-0.03864	0.03144	-1.2291	0.219669466987591	0.21478521478521478	0.8239391166232707	down	1.4711
chr1:25324280-25369060		ENSG00000142684.7	ENSG00000142684.7	1	26496362	462	-0.01874	0.01529	-1.2253	0.22111111887521023	0.22877122877122877	0.8239391166232707	down	2.848
chr15:30618103-32153204		ENSG00000169918.5	ENSG00000169918.5	15	32162992	462	-0.05268	0.04301	-1.225	0.22123335416362372	0.2087912087912088	0.8239391166232707	down	1.1773
chr5:112179911-112236600		ENSG00000224032.2	ENSG00000224032.2	5	111496223	462	0.16668	0.13617	1.224	0.221584966765355	0.23876123876123875	0.8239391166232707	up	4.314
chr16:28471892-28637651		ENSG00000260335.1	ENSG00000260335.1	16	29460512	462	0.06624	0.05417	1.2228	0.22206548313114266	0.24675324675324675	0.8239391166232707	up	4.0112
chr16:16721273-18073542		ENSG00000260342.2	ENSG00000260342.2	16	18812841	462	0.17076	0.13972	1.2222	0.22227137260898813	0.19880119880119881	0.8239391166232707	up	0.2697
chr16:28471892-28637651		ENSG00000176953.6	ENSG00000176953.6	16	28962128	462	0.01673	0.01369	1.2221	0.22232080067847654	0.23176823176823177	0.8239391166232707	up	4.5703
chr15:30618103-32153204		ENSG00000260174.1	ENSG00000260174.1	15	30336658	462	-0.04752	0.03889	-1.2218	0.22242247126933193	0.22377622377622378	0.8239391166232707	down	5.4174
chr2:87987171-111255403		ENSG00000144115.11	ENSG00000144115.11	2	88469835	462	-0.06264	0.05131	-1.2208	0.22280002779162114	0.21878121878121878	0.8239391166232707	down	0.3368
chr6:141866310-141898728		ENSG00000233138.1	ENSG00000233138.1	6	143069580	462	0.09516	0.07811	1.2182	0.22378246200673432	0.22577422577422576	0.8239391166232707	up	1.2091
chr17:16823490-18384190		ENSG00000197566.4	ENSG00000197566.4	17	16557158	462	0.03118	0.02562	1.2171	0.22422495518170532	0.21978021978021978	0.8239391166232707	up	0.8528
chr16:28471892-28637651		ENSG00000169180.7	ENSG00000169180.7	16	28223241	462	-0.0238	0.01957	-1.2162	0.22454140430762137	0.23176823176823177	0.8239391166232707	down	6.6121
chr5:179643529-179651253		ENSG00000197226.7	ENSG00000197226.7	5	179334859	462	-0.08176	0.06728	-1.2152	0.22495268289068296	0.2047952047952048	0.8239391166232707	down	5.669
chr20:24397726-24406144		ENSG00000197586.7	ENSG00000197586.7	20	25176329	462	-0.02019	0.01665	-1.213	0.225781196427787	0.1998001998001998	0.8244396842052087	down	3.9005
chr13:52310302-52320954		ENSG00000123191.9	ENSG00000123191.9	13	52585630	462	-0.09435	0.07826	-1.2055	0.22864590545093944	0.17382617382617382	0.8244396842052087	down	0.1933
chr1:149843518-149850293		ENSG00000232151.3	ENSG00000232151.3	1	149575482	462	-0.15717	0.13042	-1.2051	0.22879677890816344	0.24075924075924077	0.8244396842052087	down	4.0484
chr2:87987171-111255403		ENSG00000163060.6	ENSG00000163060.6	2	95537178	462	-0.03931	0.03263	-1.2045	0.22903108314280632	0.1918081918081918	0.8244396842052087	down	0.2317
chr2:87987171-111255403		ENSG00000114982.12	ENSG00000114982.12	2	97308524	462	0.13293	0.11036	1.2045	0.22904259163418061	0.22577422577422576	0.8244396842052087	up	4.2108
chr1:149843518-149850293		ENSG00000235999.1	ENSG00000235999.1	1	149287451	462	0.08246	0.06864	1.2014	0.23022251516469203	0.24275724275724275	0.8244396842052087	up	1.4024
chr2:87987171-111255403		ENSG00000243466.1	ENSG00000243466.1	2	89247475	462	-0.47747	0.39744	-1.2014	0.23025147047635164	0.23876123876123875	0.8244396842052087	down	5.1143
chr7:65219157-65531823		ENSG00000196715.4	ENSG00000196715.4	7	65338254	462	0.01192	0.00992	1.2009	0.23041690689418598	0.22677322677322678	0.8244396842052087	up	3.507
chr14:60606118-60611659		ENSG00000126773.8	ENSG00000126773.8	14	60558629	462	-0.01921	0.01606	-1.1958	0.23239908837020443	0.25674325674325676	0.8288767423722787	down	3.8595
chr5:177946129-178003952		ENSG00000251666.1	ENSG00000251666.1	5	176478715	462	-0.08766	0.0734	-1.1943	0.23299604712887964	0.21078921078921078	0.8288767423722787	down	0.2741
chr12:46896694-46915975		ENSG00000257261.1	ENSG00000257261.1	12	46777462	462	-0.05557	0.04666	-1.191	0.23430393715404488	0.25074925074925075	0.8289668384600815	down	0.8211
chr17:16823490-18384190		ENSG00000166484.13	ENSG00000166484.13	17	19281034	462	0.06471	0.05434	1.1908	0.23436057630131543	0.23876123876123875	0.8289668384600815	up	2.7097
chr2:87987171-111255403		ENSG00000224607.3	ENSG00000224607.3	2	90007677	462	-0.36132	0.30404	-1.1884	0.23530951309525483	0.24675324675324675	0.8290232950754126	down	2.442
chr9:87942696-88110274		ENSG00000224887.1	ENSG00000224887.1	9	89700066	462	-0.02635	0.02223	-1.1855	0.2364576396713297	0.21978021978021978	0.8290232950754126	down	0.1581
chr14:60606118-60611659		ENSG00000126814.6	ENSG00000126814.6	14	61448076	462	-0.02832	0.02394	-1.1828	0.23752143971714965	0.2177822177822178	0.8290232950754126	down	3.3626
chr17:16823490-18384190		ENSG00000174977.7	ENSG00000174977.7	17	18553508	462	-0.01802	0.01524	-1.1823	0.2377039370514598	0.23876123876123875	0.8290232950754126	down	4.9627
chr16:16721273-18073542		ENSG00000233024.3	ENSG00000233024.3	16	18473188	462	-0.26883	0.22739	-1.1823	0.2377247736282484	0.24375624375624375	0.8290232950754126	down	3.9221
chr5:124425560-124546657		ENSG00000242814.2	ENSG00000242814.2	5	124144926	462	-0.09489	0.08055	-1.178	0.2394259728677777	0.24875124875124874	0.8296372806936126	down	3.9963
chr16:75206214-75222748		ENSG00000140839.6	ENSG00000140839.6	16	74455649	462	-0.00982	0.00835	-1.1759	0.2402451058513886	0.2177822177822178	0.8296372806936126	down	0.2082
chr2:87987171-111255403		ENSG00000254098.1	ENSG00000254098.1	2	89496317	462	-0.17117	0.14557	-1.1759	0.2402664174224276	0.23776223776223776	0.8296372806936126	down	1.1681
chr16:75206214-75222748		ENSG00000103091.10	ENSG00000103091.10	16	75034071	462	0.02379	0.02029	1.1723	0.24168395621931502	0.25674325674325676	0.8296372806936126	up	4.7366
chr5:179643529-179651253		ENSG00000234284.2	ENSG00000234284.2	5	178450753	462	0.01587	0.01356	1.1708	0.24228680651458212	0.24875124875124874	0.8296372806936126	up	0.235
chr2:87987171-111255403		ENSG00000219041.3	ENSG00000219041.3	2	91678896	462	-0.09691	0.08281	-1.1703	0.2425048847275696	0.2517482517482518	0.8296372806936126	down	0.4721
chr17:45585159-46292045		ENSG00000172992.6	ENSG00000172992.6	17	43138473	462	0.02419	0.02068	1.1701	0.24259183813496588	0.23076923076923078	0.8296372806936126	up	4.129
chr11:71571819-71576724		ENSG00000228286.2	ENSG00000228286.2	11	71962332	462	0.0376	0.03226	1.1656	0.24440170279293374	0.24875124875124874	0.8335242646216309	up	0.1768
chr11:50154999-50324102		ENSG00000255042.1	ENSG00000255042.1	11	50254505	462	-0.02532	0.02187	-1.1577	0.24759980558340677	0.26673326673326675	0.83727574831827	down	2.8772
chr17:45585159-46292045		ENSG00000186834.2	ENSG00000186834.2	17	43224684	462	0.01512	0.01309	1.1558	0.24838006234805632	0.24275724275724275	0.83727574831827	up	2.9713
chr7:5989046-6735643		ENSG00000235944.3	ENSG00000235944.3	7	5862791	462	-0.0458	0.03966	-1.1546	0.24887689950007838	0.2677322677322677	0.83727574831827	down	0.8374
chr1:149843518-149850293		ENSG00000143369.10	ENSG00000143369.10	1	150480538	462	0.05704	0.04941	1.1545	0.2489285295852565	0.26573426573426573	0.83727574831827	up	0.3644
chr17:16823490-18384190		ENSG00000215030.4	ENSG00000215030.4	17	17287326	462	-0.03221	0.02794	-1.1527	0.249645579740724	0.25674325674325676	0.83727574831827	down	10.5361
chr13:52310302-52320954		ENSG00000236778.1	ENSG00000236778.1	13	52028283	462	0.34583	0.30028	1.1517	0.25005511353486554	0.23376623376623376	0.83727574831827	up	0.8362
chr11:71571819-71576724		ENSG00000214534.3	ENSG00000214534.3	11	71532594	462	-0.0976	0.08486	-1.1501	0.2507077906624657	0.2547452547452547	0.83727574831827	down	0.2749
chr16:16721273-18073542		ENSG00000205746.5	ENSG00000205746.5	16	18488396	462	-0.60391	0.5253	-1.1496	0.2509121992133103	0.24475524475524477	0.83727574831827	down	2.942
chr16:75206214-75222748		ENSG00000065457.5	ENSG00000065457.5	16	75657198	462	-0.06073	0.05294	-1.1473	0.2518746905548097	0.2677322677322677	0.8382281368463829	down	3.6219
chr7:65219157-65531823		ENSG00000198039.7	ENSG00000198039.7	7	64330550	462	-0.01442	0.01267	-1.1384	0.25555210016065893	0.24775224775224775	0.8455526465324404	down	2.1706
chr11:71571819-71576724		ENSG00000254805.1	ENSG00000254805.1	11	71401703	462	0.1111	0.09817	1.1317	0.2583742816660508	0.25874125874125875	0.8455526465324404	up	0.5099
chr8:7301024-12598379		ENSG00000079459.7	ENSG00000079459.7	8	11653082	462	-0.01674	0.01484	-1.1283	0.2598200649606944	0.2707292707292707	0.8455526465324404	down	7.695
chr11:18249084-18265819		ENSG00000255138.1	ENSG00000255138.1	11	18210547	462	-0.06273	0.0559	-1.1221	0.2624104629485466	0.22977022977022976	0.8455526465324404	down	1.9908
chr1:248128773-248428856		ENSG00000203661.2	ENSG00000203661.2	1	248651885	421	0.07192	0.0642	1.1203	0.26325403303603506	0.2707292707292707	0.8455526465324404	up	0.3168
chr16:28471892-28637651		ENSG00000255524.2	ENSG00000255524.2	16	28648975	462	0.01453	0.01298	1.1194	0.26355474914682425	0.25874125874125875	0.8455526465324404	up	0.6804
chr16:75206214-75222748		ENSG00000103089.4	ENSG00000103089.4	16	74808729	462	0.02125	0.01899	1.1192	0.2636777894496352	0.25274725274725274	0.8455526465324404	up	0.3377
chr2:87987171-111255403		ENSG00000135953.6	ENSG00000135953.6	2	103353347	462	-0.04917	0.04394	-1.1191	0.26368834690523146	0.24275724275724275	0.8455526465324404	down	2.2429
chr11:18249084-18265819		ENSG00000129173.6	ENSG00000129173.6	11	19263389	462	0.05946	0.05327	1.1161	0.2649843397411006	0.26173826173826176	0.8455526465324404	up	2.833
chr3:195749463-195980207		ENSG00000176945.11	ENSG00000176945.11	3	195343316	462	-0.06168	0.05527	-1.1159	0.26506098999410144	0.2807192807192807	0.8455526465324404	down	1.1783
chr1:25324280-25369060		ENSG00000204178.5	ENSG00000204178.5	1	25757388	462	0.0213	0.01911	1.1147	0.26558834488260286	0.25774225774225773	0.8455526465324404	up	3.4782
chr17:3082008-3221835		ENSG00000263165.1	ENSG00000263165.1	17	4067204	462	-0.55551	0.49864	-1.1141	0.2658534393100747	0.17182817182817184	0.8455526465324404	down	2.3584
chr5:124425560-124546657		ENSG00000151292.13	ENSG00000151292.13	5	122847793	462	0.14516	0.1305	1.1123	0.2665892260356721	0.25874125874125875	0.8455526465324404	up	3.4183
chr7:97445822-97459601		ENSG00000183444.9	ENSG00000183444.9	7	97596335	462	-0.02637	0.02377	-1.1097	0.26770922217137894	0.26673326673326675	0.8455526465324404	down	3.1452
chr7:5989046-6735643		ENSG00000146574.10	ENSG00000146574.10	7	6866401	462	0.03199	0.02884	1.1095	0.2678134234919208	0.25574425574425574	0.8455526465324404	up	5.5759
chr16:28471892-28637651		ENSG00000260442.1	ENSG00000260442.1	16	28891241	462	-0.0222	0.02001	-1.1094	0.26785357389142406	0.25274725274725274	0.8455526465324404	down	1.3421
chr14:60606118-60611659		ENSG00000258656.1	ENSG00000258656.1	14	61439184	462	0.05425	0.04896	1.1082	0.26838856876463774	0.27172827172827174	0.8455526465324404	up	4.2247
chr17:16823490-18384190		ENSG00000171953.9	ENSG00000171953.9	17	17942523	462	0.03385	0.0306	1.106	0.2693436190637093	0.2547452547452547	0.8455526465324404	up	3.7052
chr1:25324280-25369060		ENSG00000142675.11	ENSG00000142675.11	1	26503894	462	-0.0418	0.03796	-1.101	0.27148049306057703	0.2967032967032967	0.8455526465324404	down	1.0376
chr5:112179911-112236600		ENSG00000164211.8	ENSG00000164211.8	5	110848288	462	-0.14343	0.13047	-1.0993	0.27221283836749643	0.25674325674325676	0.8455526465324404	down	5.4929
chr13:52310302-52320954		ENSG00000139675.10	ENSG00000139675.10	13	53191605	462	-0.13008	0.11848	-1.0978	0.2728659311209082	0.22477522477522477	0.8455526465324404	down	9.386
chr21:43821742-43835116		ENSG00000160199.8	ENSG00000160199.8	21	44394620	462	0.37148	0.33843	1.0977	0.27294349750957086	0.2807192807192807	0.8455526465324404	up	3.596
chr8:7301024-12598379		ENSG00000254543.1	ENSG00000254543.1	8	7750077	462	0.01332	0.01214	1.0972	0.2731339827890747	0.26573426573426573	0.8455526465324404	up	1.3662
chr1:248128773-248428856		ENSG00000182783.3	ENSG00000182783.3	1	248722797	421	0.07041	0.06424	1.096	0.2737520619219333	0.24775224775224775	0.8455526465324404	up	0.3161
chr2:87987171-111255403		ENSG00000228551.1	ENSG00000228551.1	2	109867878	462	0.04075	0.03725	1.0939	0.27459549900589364	0.25574425574425574	0.8455526465324404	up	0.3606
chr2:87987171-111255403		ENSG00000204685.5	ENSG00000204685.5	2	96874154	462	0.03392	0.03105	1.0922	0.27533129249425775	0.2597402597402597	0.8455526465324404	up	2.4292
chr2:87987171-111255403		ENSG00000244116.1	ENSG00000244116.1	2	89521942	462	-0.40362	0.37057	-1.0892	0.2766676472238722	0.2627372627372627	0.8455526465324404	down	4.81
chr17:16823490-18384190		ENSG00000133030.12	ENSG00000133030.12	17	16946074	462	0.03722	0.03419	1.0889	0.27679805316661016	0.27172827172827174	0.8455526465324404	up	4.7765
chr1:248128773-248428856		ENSG00000171163.10	ENSG00000171163.10	1	249153343	421	-0.10829	0.09949	-1.0884	0.27706913494035035	0.27972027972027974	0.8455526465324404	down	4.1642
chr2:87987171-111255403		ENSG00000242766.1	ENSG00000242766.1	2	90121477	462	-0.22295	0.20502	-1.0874	0.2774317001028675	0.2787212787212787	0.8455526465324404	down	2.3467
chr9:87942696-88110274		ENSG00000217716.3	ENSG00000217716.3	9	90631215	462	0.0434	0.03997	1.0858	0.2781675780968173	0.25874125874125875	0.8455526465324404	up	8.4921
chr1:149843518-149850293		ENSG00000178096.7	ENSG00000178096.7	1	149858486	462	-0.09738	0.08999	-1.0821	0.27977561432420267	0.28471528471528473	0.8455526465324404	down	3.3253
chr12:75713180-75731794		ENSG00000257453.1	ENSG00000257453.1	12	76424274	462	0.08929	0.08252	1.082	0.2798404785848283	0.26573426573426573	0.8455526465324404	up	0.8868
chr7:5989046-6735643		ENSG00000146576.8	ENSG00000146576.8	7	6629648	462	-0.04848	0.04481	-1.0818	0.27992935366073357	0.2677322677322677	0.8455526465324404	down	3.5092
chr7:54234014-54308393		ENSG00000213673.3	ENSG00000213673.3	7	54487137	462	-0.01377	0.01273	-1.0813	0.28014873683420105	0.2957042957042957	0.8455526465324404	down	2.2706
chr16:75206214-75222748		ENSG00000050820.12	ENSG00000050820.12	16	75301951	462	-0.03858	0.03569	-1.0809	0.28031856520131876	0.26173826173826176	0.8455526465324404	down	2.8192
chr16:28471892-28637651		ENSG00000197165.6	ENSG00000197165.6	16	28608430	462	0.01413	0.01308	1.0805	0.28048264378096155	0.3026973026973027	0.8455526465324404	up	0.7382
chr2:87987171-111255403		ENSG00000230395.1	ENSG00000230395.1	2	87348103	462	0.03629	0.03358	1.0805	0.28048946654361606	0.27472527472527475	0.8455526465324404	up	3.038
chr2:87987171-111255403		ENSG00000223703.1	ENSG00000223703.1	2	91924752	462	0.04149	0.03842	1.0799	0.2807849851272663	0.2707292707292707	0.8455526465324404	up	0.613
chr1:149843518-149850293		ENSG00000203819.5	ENSG00000203819.5	1	149822340	462	0.10358	0.09604	1.0785	0.2813955495729931	0.2807192807192807	0.8455526465324404	up	1.5302
chr3:195749463-195980207		ENSG00000215837.6	ENSG00000215837.6	3	195384933	462	-0.04236	0.03947	-1.073	0.2838649787317821	0.2807192807192807	0.8509076117916374	down	3.6248
chr15:30618103-32153204		ENSG00000261279.1	ENSG00000261279.1	15	32727193	462	0.03848	0.03626	1.0612	0.2891769559256433	0.2677322677322677	0.8634257907061655	up	0.239
chr17:16823490-18384190		ENSG00000170315.6	ENSG00000170315.6	17	16284113	462	-0.01959	0.01847	-1.0606	0.28943594761151753	0.3006993006993007	0.8634257907061655	down	10.2677
chr3:195749463-195980207		ENSG00000163961.4	ENSG00000163961.4	3	196230639	462	0.02113	0.02001	1.0555	0.29177553269387463	0.3066933066933067	0.8676573849922403	up	3.8763
chr16:14954790-15100859		ENSG00000103222.13	ENSG00000103222.13	16	16043434	462	-0.04855	0.04604	-1.0544	0.29225616279625544	0.27672327672327673	0.8676573849922403	down	4.4017
chr2:87987171-111255403		ENSG00000114988.7	ENSG00000114988.7	2	97405801	462	0.02789	0.02649	1.0529	0.29296794322197006	0.3086913086913087	0.8676897457148299	up	2.8273
chr17:3082008-3221835		ENSG00000127774.5	ENSG00000127774.5	17	3572090	462	0.19598	0.18746	1.0454	0.29639250896994607	0.23076923076923078	0.8717383366181038	up	4.5577
chr7:65219157-65531823		ENSG00000179406.6	ENSG00000179406.6	7	65866325	462	-0.02569	0.0246	-1.0443	0.2969066821857702	0.2937062937062937	0.8717383366181038	down	1.1781
chr16:14954790-15100859		ENSG00000166783.13	ENSG00000166783.13	16	15737023	462	0.02719	0.02606	1.0433	0.29739736338391937	0.29270729270729273	0.8717383366181038	up	3.5106
chr1:149843518-149850293		ENSG00000220323.2	ENSG00000220323.2	1	149814606	462	0.1002	0.09609	1.0428	0.2976192111875738	0.2817182817182817	0.8717383366181038	up	1.5344
chr9:87942696-88110274		ENSG00000196730.8	ENSG00000196730.8	9	90112143	462	0.18887	0.18121	1.0423	0.297855667519756	0.3086913086913087	0.8717383366181038	up	4.2243
chr1:149843518-149850293		ENSG00000163131.5	ENSG00000163131.5	1	150738433	462	-0.09739	0.09419	-1.0339	0.3017295737751031	0.2867132867132867	0.8768184200618605	down	6.1691
chr16:14954790-15100859		ENSG00000072864.8	ENSG00000072864.8	16	15737124	462	-0.04252	0.04114	-1.0337	0.3018368587804359	0.3206793206793207	0.8768184200618605	down	5.7674
chr11:18249084-18265819		ENSG00000212789.3	ENSG00000212789.3	11	18283529	462	0.05463	0.05287	1.0333	0.30202619600008557	0.31868131868131866	0.8768184200618605	up	7.016
chr2:87987171-111255403		ENSG00000144161.7	ENSG00000144161.7	2	113012713	462	-0.03993	0.03868	-1.0324	0.30242444698417964	0.29270729270729273	0.8768184200618605	down	2.7146
chr5:177946129-178003952		ENSG00000170089.8	ENSG00000170089.8	5	177236408	462	-0.14296	0.1387	-1.0307	0.30324015732100457	0.2897102897102897	0.8771292401014104	down	5.9424
chr17:16823490-18384190		ENSG00000240445.2	ENSG00000240445.2	17	18576213	462	0.04559	0.04455	1.0232	0.3067500002927347	0.2807192807192807	0.878423243007502	up	0.6266
chr2:87987171-111255403		ENSG00000215703.3	ENSG00000215703.3	2	95558501	462	0.04275	0.04178	1.0231	0.306812844688124	0.33466533466533466	0.878423243007502	up	0.734
chr5:112179911-112236600		ENSG00000212643.1	ENSG00000212643.1	5	112227313	462	-0.21161	0.20712	-1.0217	0.3074878557294056	0.2777222777222777	0.878423243007502	down	0.4702
chr17:16823490-18384190		ENSG00000225436.1	ENSG00000225436.1	17	16229799	462	-0.03435	0.03367	-1.0201	0.3082175302958443	0.3036963036963037	0.878423243007502	down	1.0678
chr17:16823490-18384190		ENSG00000202364.1	ENSG00000202364.1	17	19091329	462	-0.11722	0.11505	-1.0189	0.3088136076606626	0.3146853146853147	0.878423243007502	down	2.9086
chr16:28471892-28637651		ENSG00000196796.4	ENSG00000196796.4	16	29049923	462	0.01592	0.01562	1.0187	0.30891338270646557	0.2857142857142857	0.878423243007502	up	0.6808
chr17:16823490-18384190		ENSG00000166582.4	ENSG00000166582.4	17	16256813	462	-0.03985	0.03914	-1.0181	0.30919420412911797	0.3206793206793207	0.878423243007502	down	4.4525
chr2:87987171-111255403		ENSG00000168758.6	ENSG00000168758.6	2	97536494	462	0.05613	0.05516	1.0177	0.3093639208007034	0.29270729270729273	0.878423243007502	up	3.099
