gene_name	transcript_id	inv_id	recurrence	k_direct	k_inverted	n_seq_classes	p_direct	p_inverted	delta	perm_p	perm_method	n_assignments	jackknife_p	jackknife_q	jackknife_note	reproduces_published	status	perm_q_bh	perm_q_by
PABPC1L2B	ENST00000373521.4	X:72997772-73077479	recurrent	42	8	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
PLAC9	ENST00000372263.4	10:79542901-80217413	single-event	77	3	2	0.974025974025974	1.0	0.025974025974025983	1.0	exact	82160	0.3174298718641566	1.0		True	OK	1.0	1.0
PPIAL4F	ENST00000581138.4	1:144376209-144600799	single-event	29	49	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
PRR23D1	ENST00000533250.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
PRR23D2	ENST00000528972.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
RAC1	ENST00000348035.9	7:5989046-6735643	recurrent	73	9	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
RFC2	ENST00000055077.8	7:73113989-74799029	recurrent	77	3	3	0.9483937115516062	1.0	0.05160628844839377	1.0	exact	82160	0.1518571241706672	0.7324873048232183		True	OK	1.0	1.0
SGF29	ENST00000317058.8	16:28471892-28637651	recurrent	52	30	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
SMIM10L3	ENST00000578372.2	7:5989046-6735643	recurrent	73	9	2	0.9726027397260274	1.0	0.0273972602739726	1.0	monte_carlo	100000	0.3176790847472053	1.0		True	OK	1.0	1.0
SPAG11A	ENST00000642566.2	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
SPAG11B	ENST00000398462.7	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
SPDYE12	ENST00000618416.5	7:74869950-75058098	recurrent	72	8	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
STH	ENST00000537309.1	17:45585159-46292045	single-event	72	10	2	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
SULT1A1	ENST00000314752.12	16:28471892-28637651	recurrent	52	30	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
TBL2	ENST00000305632.11	7:73113989-74799029	recurrent	77	3	4	0.9231032125768968	1.0	0.07689678742310324	1.0	exact	82160	0.0752031181422836	0.3854159804792036		True	OK	1.0	1.0
TMEM254	ENST00000372281.8	10:79542901-80217413	single-event	77	3	2	0.974025974025974	1.0	0.025974025974025983	1.0	exact	82160	0.3174298718641566	1.0		True	OK	1.0	1.0
TRIM50	ENST00000333149.7	7:73113989-74799029	recurrent	77	3	2	0.974025974025974	1.0	0.025974025974025983	1.0	exact	82160	0.3174298718641566	1.0		True	OK	1.0	1.0
USP17L1	ENST00000529559.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
USP17L2	ENST00000333796.4	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
USP17L3	ENST00000530484.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
USP17L4	ENST00000526929.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
USP17L7	ENST00000530447.5	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
USP17L8	ENST00000527080.1	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
VPS37D	ENST00000324941.5	7:73113989-74799029	recurrent	77	3	1	1.0	1.0	0.0	1.0	exact	82160	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
XKR6	ENST00000416569.3	8:7301024-12598379	recurrent	41	41	2	0.9512195121951219	1.0	0.04878048780487809	1.0	monte_carlo	100000	0.3203163554920682	1.0		True	OK	1.0	1.0
ZDHHC4	ENST00000335965.11	7:5989046-6735643	recurrent	73	9	3	0.6168188736681888	0.6111111111111112	-0.005707762557077611	1.0	monte_carlo	100000	0.9800569159330932	1.0		True	OK	1.0	1.0
ZNF12	ENST00000405858.6	7:5989046-6735643	recurrent	73	9	2	0.9726027397260274	1.0	0.0273972602739726	1.0	monte_carlo	100000	0.3176790847472053	1.0		True	OK	1.0	1.0
ZNF316	ENST00000382252.6	7:5989046-6735643	recurrent	73	9	6	0.3097412480974125	0.3055555555555556	-0.004185692541856911	1.0	monte_carlo	100000	0.9823461693596868	1.0		True	OK	1.0	1.0
ZNF705B	ENST00000400120.3	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
ZNF705D	ENST00000400085.8	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
ZNF705G	ENST00000400156.4	8:7301024-12598379	recurrent	41	41	1	1.0	1.0	0.0	1.0	monte_carlo	100000	1.0	1.0	boundary_zero_diff	True	OK	1.0	1.0
