Phenotype	Q_GLOBAL	P_Value_x	P_Value_y	N_Total	N_Cases	N_Controls	Beta	OR	P_Valid	P_Source_x	OR_CI95	CI_Method	CI_Sided	CI_Valid	CI_LO_OR	CI_HI_OR	Used_Ridge	Final_Is_MLE	Used_Firth	Inference_Type	N_Total_Used	N_Cases_Used	N_Controls_Used	Model_Notes	Inversion	P_LRT_Overall	P_Overall_Valid	P_Source_y	P_Method	Sig_Global	CI_Valid_DISPLAY	CI_Method_DISPLAY	OR_CI95_DISPLAY	CI_LO_OR_DISPLAY	CI_HI_OR_DISPLAY
Irregular_menstrual_cycle	0.45072048981489365	0.1351750603	0.1351750603	239560	18445	221115	-0.02305103686	0.9772126086	TRUE	lrt_mle	0.948,1.007	lrt_quadratic	two	True	0.9481036726933711	1.0072152550229199	FALSE	TRUE	FALSE	mle	143694	18436	125258	sex_restricted_to_0;sex_majority_restricted_to_0;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1351750603	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.948,1.007	0.9481036726933711	1.0072152550229199
Osteonecrosis	0.4519224190601208	0.1360127089	0.1360127089	190219	2370	187849	-0.06160045455	0.9402584878	TRUE	lrt_mle	0.867,1.020	lrt_quadratic	two	True	0.8671123864343389	1.0195748989642415	FALSE	TRUE	FALSE	mle	190219	2370	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1360127089	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.867,1.020	0.8671123864343389	1.0195748989642415
Crohns_disease	0.4519224190601208	0.1363594537	0.1363594537	199852	3253	196599	-0.04822747725	0.9529169955	TRUE	lrt_mle	0.894,1.015	lrt_quadratic	two	True	0.8943229052360528	1.0153500429927487	FALSE	TRUE	FALSE	mle	199852	3253	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1363594537	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.894,1.015	0.8943229052360528	1.0153500429927487
Nausea	0.464695989835241	0.1406372549	0.1406372549	253653	57054	196599	-0.01367752136	0.9864155909	TRUE	lrt_mle	0.969,1.005	lrt_quadratic	two	True	0.9686310174958431	1.0045266984723695	FALSE	TRUE	FALSE	mle	253653	57054	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1406372549	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.969,1.005	0.9686310174958431	1.0045266984723695
Pain_in_foot_and_toes	0.46588714541291293	0.1414224425	0.1414224425	226643	44070	182573	-0.01533160467	0.984785326	TRUE	lrt_mle	0.965,1.005	lrt_quadratic	two	True	0.9648658377836824	1.0051160486838029	FALSE	TRUE	FALSE	mle	226643	44070	182573	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1414224425	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.965,1.005	0.9648658377836824	1.0051160486838029
Other_disorders_of_male_genital_organs	0.4663823853419162	0.1419979186	0.1419979186	227974	6859	221115	-0.0351882087	0.965423698	TRUE	lrt_mle	0.921,1.012	lrt_quadratic	two	True	0.9211279266304626	1.0118495919509556	FALSE	TRUE	FALSE	mle	102674	6817	95857	sex_restricted_to_1;sex_majority_restricted_to_1;ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1419979186	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.921,1.012	0.9211279266304626	1.0118495919509556
Other_symptoms_and_disorders_of_the_soft_tissue	0.46962177175761194	0.1434123004	0.1434123004	263211	75362	187849	-0.012658727	0.9874210577	TRUE	lrt_mle	0.971,1.004	lrt_quadratic	two	True	0.9708190889937932	1.0043069364708148	FALSE	TRUE	FALSE	mle	263211	75362	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1434123004	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.971,1.004	0.9708190889937932	1.0043069364708148
Horseshoe_tear_of_retina_without_detachment	0.46967318410208336	0.1438561439	0.1438561439	259008	1320	257688	0.07482495139	1.077695485	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	259008	1320	257688	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45585160-INV-706887		TRUE	score_boot_mle	score_boot_mle	False	FALSE				
Diseases_of_salivary_glands	0.4721864853679525	0.145056377	0.145056377	205035	8436	196599	-0.03089136249	0.9695809002	TRUE	lrt_mle	0.930,1.011	lrt_quadratic	two	True	0.9301211947845174	1.0107146545227497	FALSE	TRUE	FALSE	mle	205035	8436	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.145056377	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.930,1.011	0.9301211947845174	1.0107146545227497
Repeated_falls	0.4766487141224852	0.1468616822	0.1468616822	219707	5522	214185	0.03765225088	1.038370078	TRUE	lrt_mle	0.987,1.093	lrt_quadratic	two	True	0.9868694733122659	1.0925582841906158	FALSE	TRUE	FALSE	mle	219707	5522	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1468616822	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.987,1.093	0.9868694733122659	1.0925582841906158
Bronchiectasis	0.47707748498468217	0.1474885666	0.1474885666	213182	3550	209632	-0.0472369578	0.9538613459	TRUE	lrt_mle	0.895,1.017	lrt_quadratic	two	True	0.8948000216704362	1.016821016105454	FALSE	TRUE	FALSE	mle	213182	3550	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1474885666	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.895,1.017	0.8948000216704362	1.016821016105454
Pulmonary_edema	0.47707748498468217	0.1483316564	0.1483316564	215963	6331	209632	0.03607442335	1.036733001	TRUE	lrt_mle	0.987,1.089	lrt_quadratic	two	True	0.98724123438665	1.0887058577313584	FALSE	TRUE	FALSE	mle	215963	6331	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1483316564	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.987,1.089	0.98724123438665	1.0887058577313584
Mycobacterium_tuberculosis	0.47707748498468217	0.1490790163	0.1490790163	250292	2191	248101	-0.06889384404	0.9334257635	TRUE	lrt_mle	0.850,1.025	lrt_quadratic	two	True	0.8500306887397507	1.0250025882096987	FALSE	TRUE	FALSE	mle	250292	2191	248101	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1490790163	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.850,1.025	0.8500306887397507	1.0250025882096987
Atrioventricular_block	0.47707748498468217	0.1491496126	0.1491496126	216830	6998	209832	0.03433867669	1.034935056	TRUE	lrt_mle	0.988,1.084	lrt_quadratic	two	True	0.9877586740345325	1.0843646305475836	FALSE	TRUE	FALSE	mle	216830	6998	209832	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1491496126	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.988,1.084	0.9877586740345325	1.0843646305475836
Sciatica	0.47707748498468217	0.1495750378	0.1495750378	218394	30545	187849	-0.01765668649	0.9824982794	TRUE	lrt_mle	0.959,1.006	lrt_quadratic	two	True	0.9591846190532929	1.006378594739203	FALSE	TRUE	FALSE	mle	218394	30545	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1495750378	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.959,1.006	0.9591846190532929	1.006378594739203
Chronic_respiratory_failure	0.47707748498468217	0.1501507039	0.1501507039	212678	3046	209632	0.04983984987	1.051102749	TRUE	lrt_mle	0.982,1.125	lrt_quadratic	two	True	0.9821181634465663	1.124932853650751	FALSE	TRUE	FALSE	mle	212678	3046	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1501507039	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.982,1.125	0.9821181634465663	1.124932853650751
Bacteremia	0.47707748498468217	0.150252374	0.150252374	253790	5689	248101	0.03729388957	1.037998033	TRUE	lrt_mle	0.987,1.092	lrt_quadratic	two	True	0.9865766386622408	1.0920995631739756	FALSE	TRUE	FALSE	mle	253790	5689	248101	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.150252374	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.987,1.092	0.9865766386622408	1.0920995631739756
Diaphragmatic_hernia	0.47707748498468217	0.1504729351	0.1504729351	217214	20615	196599	-0.0203409813	0.9798645009	TRUE	lrt_mle	0.953,1.007	lrt_quadratic	two	True	0.9530690179454614	1.0074133373110212	FALSE	TRUE	FALSE	mle	217214	20615	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1504729351	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.953,1.007	0.9530690179454614	1.0074133373110212
Thyrotoxicosis_hyperthyroidism	0.4859223036325649	0.1537055965	0.1537055965	200155	7664	192491	-0.03273972862	0.967790415	TRUE	lrt_mle	0.925,1.012	lrt_quadratic	two	True	0.9252225114868496	1.0123167947800198	FALSE	TRUE	FALSE	mle	200155	7664	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1537055965	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.925,1.012	0.9252225114868496	1.0123167947800198
Venous_insufficiency	0.48674603018477014	0.1544098619	0.1544098619	232156	22324	209832	-0.01966964941	0.980522536	TRUE	lrt_mle	0.954,1.007	lrt_quadratic	two	True	0.9543353576726118	1.0074282964472574	FALSE	TRUE	FALSE	mle	232156	22324	209832	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1544098619	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.954,1.007	0.9543353576726118	1.0074282964472574
Exercise_induced_bronchospasm	0.48785046165925927	0.1558441558	0.1558441558	211525	1893	209632	-0.05926267254	0.9424591785	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	211525	1893	209632	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45585160-INV-706887		TRUE	score_boot_mle	score_boot_mle	False	FALSE				
Disorders_of_refraction_and_accommodation	0.48785046165925927	0.1559752854	0.1559752854	300900	43212	257688	-0.01440596375	0.9856973057	TRUE	lrt_mle	0.966,1.006	lrt_quadratic	two	True	0.9662742644910468	1.005510768604158	FALSE	TRUE	FALSE	mle	300900	43212	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1559752854	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.966,1.006	0.9662742644910468	1.005510768604158
Fracture_of_hand_or_wrist	0.48785046165925927	0.1560943592	0.1560943592	197825	9976	187849	-0.02760968769	0.972767976	TRUE	lrt_mle	0.936,1.011	lrt_quadratic	two	True	0.9363527567485251	1.0105994010994563	FALSE	TRUE	FALSE	mle	197825	9976	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1560943592	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.936,1.011	0.9363527567485251	1.0105994010994563
Mixed_disorder_of_acid_base_balance	0.48860969917982955	0.1567826929	0.1567826929	207750	15259	192491	0.02388137413	1.024168818	TRUE	lrt_mle	0.991,1.059	lrt_quadratic	two	True	0.9908672284863103	1.0585896244535624	FALSE	TRUE	FALSE	mle	207750	15259	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1567826929	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.991,1.059	0.9908672284863103	1.0585896244535624
Hypo_coagulability	0.4908036430011331	0.1579340802	0.1579340802	269906	4955	264951	-0.03733971393	0.9633488167	TRUE	lrt_mle	0.915,1.015	lrt_quadratic	two	True	0.9146917893778301	1.0145941545513977	FALSE	TRUE	FALSE	mle	269906	4955	264951	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1579340802	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.915,1.015	0.9146917893778301	1.0145941545513977
Viral_infections	0.49111752389464786	0.1587323189	0.1587323189	342724	94623	248101	-0.010420663	0.989633444	TRUE	lrt_mle	0.975,1.004	lrt_quadratic	two	True	0.9753951972433967	1.004079532332184	FALSE	TRUE	FALSE	mle	342724	94623	248101	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1587323189	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.975,1.004	0.9753951972433967	1.004079532332184
Apnea	0.49111752389464786	0.1589304658	0.1589304658	212476	2844	209632	0.04993160098	1.051199193	TRUE	lrt_mle	0.981,1.127	lrt_quadratic	two	True	0.9806489455195151	1.1268249950702147	FALSE	TRUE	FALSE	mle	212476	2844	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1589304658	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.981,1.127	0.9806489455195151	1.1268249950702147
Keratitis	0.49132034670561797	0.1594439776	0.1594439776	263467	5779	257688	-0.03553243035	0.9650914355	TRUE	lrt_mle	0.918,1.014	lrt_quadratic	two	True	0.9184834419259169	1.0140645288754333	FALSE	TRUE	FALSE	mle	263467	5779	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1594439776	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.918,1.014	0.9184834419259169	1.0140645288754333
Psychoactive_substance_related_disorders	0.49244140898095234	0.1602566846	0.1602566846	280139	41054	239085	-0.01513891374	0.9849751035	TRUE	lrt_mle	0.964,1.006	lrt_quadratic	two	True	0.9643803780789851	1.0060096374979797	FALSE	TRUE	FALSE	mle	280139	41054	239085	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1602566846	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.964,1.006	0.9643803780789851	1.0060096374979797
Diseases_of_pulp_and_periapical_tissues	0.5017235719545962	0.1640077838	0.1640077838	205532	8933	196599	-0.0300624272	0.9703849532	TRUE	lrt_mle	0.930,1.012	lrt_quadratic	two	True	0.9301592197965863	1.0123502916893006	FALSE	TRUE	FALSE	mle	205532	8933	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1640077838	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.930,1.012	0.9301592197965863	1.0123502916893006
Disturbances_of_skin_sensation	0.5017235719545962	0.1641921261	0.1641921261	263833	49648	214185	-0.01355400676	0.9865374352	TRUE	lrt_mle	0.968,1.006	lrt_quadratic	two	True	0.967876741596011	1.005557907532096	FALSE	TRUE	FALSE	mle	263833	49648	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1641921261	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.968,1.006	0.967876741596011	1.005557907532096
Primary_focal_hyperhidrosis	0.5022893771822222	0.1648351648	0.1648351648	231503	1042	230461	-0.08385283431	0.9195665748	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	231503	1042	230461	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45585160-INV-706887		TRUE	score_boot_mle	score_boot_mle	False	FALSE				
Viral_diseases_complicating_pregnancy_childbirth_or_the_puerperium	0.502492452814876	0.1658341658	0.1658341658	360735	1856	358879	-0.06411716839	0.9378951014	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	208932	1851	207081	sex_restricted_to_0;sex_majority_restricted_to_0;firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45585160-INV-706887		TRUE	score_boot_mle	score_boot_mle	False	FALSE				
Supraventricular_tachycardia	0.502492452814876	0.165919678	0.165919678	217828	7996	209832	-0.03009560385	0.9703527597	TRUE	lrt_mle	0.930,1.013	lrt_quadratic	two	True	0.9299061275769012	1.0125586338719046	FALSE	TRUE	FALSE	mle	217828	7996	209832	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.165919678	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.930,1.013	0.9299061275769012	1.0125586338719046
Anorectal_abscess	0.502492452814876	0.1662759894	0.1662759894	198338	1739	196599	0.06442467676	1.06654524	TRUE	lrt_mle	0.974,1.168	lrt_quadratic	two	True	0.9735626002695248	1.1684084287412106	FALSE	TRUE	FALSE	mle	198338	1739	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1662759894	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.974,1.168	0.9735626002695248	1.1684084287412106
Tremor	0.5027241498326923	0.1668109303	0.1668109303	223999	9814	214185	-0.02648548996	0.9738621745	TRUE	lrt_mle	0.938,1.011	lrt_quadratic	two	True	0.9379738555947811	1.0111236355773303	FALSE	TRUE	FALSE	mle	223999	9814	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1668109303	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.938,1.011	0.9379738555947811	1.0111236355773303
Esophageal_obstruction_Stricture_and_stenosis_of_esophagus	0.5029487222983607	0.1673459554	0.1673459554	200735	4136	196599	-0.04055718794	0.960254248	TRUE	lrt_mle	0.907,1.017	lrt_quadratic	two	True	0.9065342530387739	1.0171576172334058	FALSE	TRUE	FALSE	mle	200735	4136	196599	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1673459554	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.907,1.017	0.9065342530387739	1.0171576172334058
Myocardial_infarction_Heart_attack	0.5029487222983607	0.1678023996	0.1678023996	224819	14987	209832	0.02342233851	1.023698796	TRUE	lrt_mle	0.990,1.058	lrt_quadratic	two	True	0.990188002683069	1.0583436897322827	FALSE	TRUE	FALSE	mle	224819	14987	209832	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1678023996	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.990,1.058	0.990188002683069	1.0583436897322827
Synoviopathy_and_bursopathy	0.5037673437474115	0.1685347449	0.1685347449	236029	48180	187849	-0.01407217985	0.9860263705	TRUE	lrt_mle	0.966,1.006	lrt_quadratic	two	True	0.9664719642556939	1.0059764164900022	FALSE	TRUE	FALSE	mle	236029	48180	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1685347449	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.966,1.006	0.9664719642556939	1.0059764164900022
Carpal_tunnel_syndrome_bilateral	0.5057945224263587	0.1696740057	0.1696740057	220506	6321	214185	0.03353003932	1.034098507	TRUE	lrt_mle	0.986,1.085	lrt_quadratic	two	True	0.9857766559688816	1.0847890497786987	FALSE	TRUE	FALSE	mle	220506	6321	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1696740057	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.986,1.085	0.9857766559688816	1.0847890497786987
Cough	0.5060521715531165	0.1702217423	0.1702217423	289676	80044	209632	-0.01119374866	0.9888686682	TRUE	lrt_mle	0.973,1.005	lrt_quadratic	two	True	0.9731758812596433	1.0048145066542802	FALSE	TRUE	FALSE	mle	289676	80044	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1702217423	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.973,1.005	0.9731758812596433	1.0048145066542802
Bronchitis	0.5064655231256756	0.1708224645	0.1708224645	250929	41297	209632	0.01418054961	1.014281571	TRUE	lrt_mle	0.994,1.035	lrt_quadratic	two	True	0.9939056362818742	1.0350752292794612	FALSE	TRUE	FALSE	mle	250929	41297	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1708224645	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.994,1.035	0.9939056362818742	1.0350752292794612
Posterior_subcapsular_polar_cataract	0.521927792170699	0.1767407241	0.1767407241	260080	2392	257688	-0.0521654515	0.9491718119	TRUE	lrt_mle	0.880,1.024	lrt_quadratic	two	True	0.8799832297007791	1.023800338681629	FALSE	TRUE	FALSE	mle	260080	2392	257688	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1767407241	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.880,1.024	0.8799832297007791	1.023800338681629
Acute_laryngitis_and_tracheitis	0.521927792170699	0.1769891875	0.1769891875	213909	4277	209632	-0.03920643762	0.9615521881	TRUE	lrt_mle	0.908,1.018	lrt_quadratic	two	True	0.9083515473798041	1.0178687019663053	FALSE	TRUE	FALSE	mle	213909	4277	209632	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1769891875	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.908,1.018	0.9083515473798041	1.0178687019663053
Acanthosis_nigricans	0.523479452538606	0.1779925577	0.1779925577	231685	1224	230461	0.08194679319	1.085398058	TRUE	lrt_mle	0.963,1.223	lrt_quadratic	two	True	0.9633928719999391	1.2228541210476398	FALSE	TRUE	FALSE	mle	231685	1224	230461	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1779925577	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.963,1.223	0.9633928719999391	1.2228541210476398
Oliguria_and_anuria	0.5249620015665776	0.1789751947	0.1789751947	222301	1186	221115	0.07617897816	1.079155702	TRUE	lrt_mle	0.966,1.206	lrt_quadratic	two	True	0.9656824977160631	1.2059626557310414	FALSE	TRUE	FALSE	mle	222301	1186	221115	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1789751947	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.966,1.206	0.9656824977160631	1.2059626557310414
Migraine_with_aura	0.5343537342061334	0.1826642209	0.1826642209	224203	10018	214185	-0.02531061889	0.9750070094	TRUE	lrt_mle	0.939,1.012	lrt_quadratic	two	True	0.9393781976860283	1.0119871535293146	FALSE	TRUE	FALSE	mle	224203	10018	214185	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1826642209	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.939,1.012	0.9393781976860283	1.0119871535293146
Bradycardia	0.5347828517542553	0.1832984068	0.1832984068	225324	15492	209832	0.02168772619	1.021924614	TRUE	lrt_mle	0.990,1.055	lrt_quadratic	two	True	0.9897959071681042	1.0550962171525085	FALSE	TRUE	FALSE	mle	225324	15492	209832	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1832984068	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.990,1.055	0.9897959071681042	1.0550962171525085
Alopecia_Areata	0.5354426292637795	0.1848151848	0.1848151848	231505	1044	230461	0.08566471883	1.089440998	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	231505	1044	230461	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45585160-INV-706887		TRUE	score_boot_mle	score_boot_mle	False	FALSE				
Impaired_fasting_glucose	0.5354426292637795	0.1854991903	0.1854991903	207718	15227	192491	0.02107042488	1.021293974	TRUE	lrt_mle	0.990,1.054	lrt_quadratic	two	True	0.9899304447029136	1.0536511793473768	FALSE	TRUE	FALSE	mle	207718	15227	192491	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1854991903	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.990,1.054	0.9899304447029136	1.0536511793473768
Other_disorders_of_bone	0.5354426292637795	0.1855268103	0.1855268103	234794	46945	187849	-0.01426331172	0.9858379274	TRUE	lrt_mle	0.965,1.007	lrt_quadratic	two	True	0.9652395817116928	1.006875844631965	FALSE	TRUE	FALSE	mle	234794	46945	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1855268103	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.965,1.007	0.9652395817116928	1.006875844631965
Sick_sinus_syndrome	0.5354426292637795	0.1858141858	0.1858141858	212518	2686	209832	0.04866036433	1.049863719	TRUE	score_boot_mle		profile_penalized	two	FALSE			TRUE	FALSE	TRUE	firth	212518	2686	209832	firth_refit;firth_refit;inference=firth;ci=profile_penalized	chr17-45585160-INV-706887		TRUE	score_boot_mle	score_boot_mle	False	FALSE				
Spontaneous_rupture_of_synovium_and_tendon	0.5354426292637795	0.1859650335	0.1859650335	189541	1692	187849	-0.06051016712	0.9412841988	TRUE	lrt_mle	0.861,1.030	lrt_quadratic	two	True	0.8605533812394968	1.0295885906260682	FALSE	TRUE	FALSE	mle	189541	1692	187849	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1859650335	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.861,1.030	0.8605533812394968	1.0295885906260682
Herpesvirus	0.5365363802515625	0.1873525506	0.1873525506	273999	25898	248101	-0.01639863755	0.9837350881	TRUE	lrt_mle	0.960,1.008	lrt_quadratic	two	True	0.9600438871296338	1.0080109217955933	FALSE	TRUE	FALSE	mle	273999	25898	248101	ridge_seeded_refit;ridge_seeded_refit;inference=mle;ci=lrt_quadratic	chr17-45585160-INV-706887	0.1873525506	TRUE	lrt_mle	lrt_mle	False	True	lrt_quadratic	0.960,1.008	0.9600438871296338	1.0080109217955933
